datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-15_18-16,llaplace,0,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000335/sub-3000335_all_eeg_s1_r1_e1(recording 2).vhdr does not match expected identifier format
2025-07-15_18-16,llaplace,0,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000335/sub-3000335_all_eeg_s1_r1_e1(recording 2).vmrk does not match expected identifier format
2025-07-15_18-16,llaplace,0,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/thrive-dataset/sourcedata/raw/s1_r1/eeg/sub-3000335/sub-3000335_all_eeg_s1_r1_e1(recording 2).eeg does not match expected identifier format
2025-07-15_18-14,llaplace,1,sub-3000001_all_audacity_s1_r1_e1,3000001,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_audacity_s2_r1_e1,3000001,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_audacity_s3_r1_e1,3000001,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_digi_s1_r1_e1,3000001,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_digi_s2_r1_e1,3000001,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_digi_s3_r1_e1,3000001,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_eeg_s1_r1_e1,3000001,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_eeg_s2_r1_e1,3000001,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_eeg_s3_r1_e1,3000001,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_zoom_s1_r1_e1,3000001,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_zoom_s2_r1_e1,3000001,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_all_zoom_s3_r1_e1,3000001,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_arrow-alert-v1-1_psychopy_s1_r1_e1,3000001,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000001_arrow-alert-v1-2_psychopy_s2_r1_e1,3000001,psychopy,0,s2_r1,,
