name,date,sub,session,dtype,fname,status,notes
Felix,2025-02-03,3000001,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000002,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000003,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000004,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000005,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000006,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000008,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000010,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000011,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000012,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000013,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000014,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000015,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000019,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000020,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000021,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000022,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000023,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000026,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000028,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000030,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000031,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000032,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000033,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000034,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000039,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000040,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000041,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000044,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000045,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000046,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000047,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000048,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000049,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000050,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000053,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000054,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000055,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000056,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000058,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000059,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000060,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000062,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000064,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000066,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000067,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000071,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000073,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000074,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000077,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000079,s1_r1,psychopy,,PASSED,
Felix,2025-02-03,3000080,s1_r1,psychopy,,PASSED,
