name,date,sub,session,dtype,fname,status
Lilly,2025-05-02,3000290,s1_r1,psychopy,"sub-3000290_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000290_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000290_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000291,s1_r1,psychopy,"sub-3000291_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000291_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000291_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000294,s1_r1,psychopy,"sub-3000294_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000294_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000294_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000296,s1_r1,psychopy,"sub-3000296_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000296_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000296_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000297,s1_r1,psychopy,"sub-3000297_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000297_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000297_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000299,s1_r1,psychopy,"sub-3000299_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000299_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000299_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000300,s1_r1,psychopy,"sub-3000300_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000300_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000300_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000301,s1_r1,psychopy,"sub-3000301_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000301_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000301_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000302,s1_r1,psychopy,"sub-3000302_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000302_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000302_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000303,s1_r1,psychopy,"sub-3000303_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000303_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000303_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000305,s1_r1,psychopy,"sub-3000305_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000305_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000305_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
Lilly,2025-05-02,3000307,s1_r1,psychopy,"sub-3000307_arrow-alert-v1-2_psychopy_s1_r1_e1.csv,sub-3000307_arrow-alert-v1-2_psychopy_s1_r1_e1.log,sub-3000307_arrow-alert-v1-2_psychopy_s1_r1_e1.psydat",PASSED
