name,date,sub,session,dtype,fname,status,notes
Lilly,2025-02-26,3000008,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000124,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000231,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000232,s1_r1,psychopy,,FAILED,NO DATA
Lilly,2025-02-26,3000240,s1_r1,psychopy,,FAILED,NO DATA
Lilly,2025-02-26,3000242,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000256,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000259,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000260,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000261,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000263,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000264,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000265,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000266,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000267,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000269,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
Lilly,2025-02-26,3000277,s1_r1,psychopy,,FAILED,INCORRECT FILES/EXTENSIONS
