name,date,sub,session,dtype,fname,status,notes
Lilly,2025-03-31,3000134,s2_r1,eeg,"sub-3000134_all_eeg_s2_r1_e1.vhdr, sub-3000134_all_eeg_s2_r1_e1.eeg, sub-3000134_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000142,s2_r1,eeg,"sub-3000142_all_eeg_s2_r1_e1.vhdr, sub-3000142_all_eeg_s2_r1_e1.eeg, sub-3000142_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000143,s2_r1,eeg,"sub-3000143_all_eeg_s2_r1_e1.vhdr, sub-3000143_all_eeg_s2_r1_e1.eeg, sub-3000143_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000146,s2_r1,eeg,"sub-3000146_all_eeg_s2_r1_e1.vhdr, sub-3000146_all_eeg_s2_r1_e1.eeg, sub-3000146_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000148,s2_r1,eeg,"sub-3000148_all_eeg_s2_r1_e1.vhdr, sub-3000148_all_eeg_s2_r1_e1.eeg, sub-3000148_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000153,s2_r1,eeg,"sub-3000153_all_eeg_s2_r1_e1.vhdr, sub-3000153_all_eeg_s2_r1_e1.eeg, sub-3000153_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000155,s2_r1,eeg,"sub-3000155_all_eeg_s2_r1_e1.vhdr, sub-3000155_all_eeg_s2_r1_e1.eeg, sub-3000155_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000156,s2_r1,eeg,"sub-3000156_all_eeg_s2_r1_e1.vhdr, sub-3000156_all_eeg_s2_r1_e1.eeg, sub-3000156_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000157,s2_r1,eeg,"sub-3000157_all_eeg_s2_r1_e1.vhdr, sub-3000157_all_eeg_s2_r1_e1.eeg, sub-3000157_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000158,s2_r1,eeg,"sub-3000158_all_eeg_s2_r1_e1.vhdr, sub-3000158_all_eeg_s2_r1_e1.eeg, sub-3000158_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000163,s2_r1,eeg,"sub-3000163_all_eeg_s2_r1_e1.vhdr, sub-3000163_all_eeg_s2_r1_e1.eeg, sub-3000163_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000164,s2_r1,eeg,"sub-3000164_all_eeg_s2_r1_e1.vhdr, sub-3000164_all_eeg_s2_r1_e1.eeg, sub-3000164_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000166,s2_r1,eeg,"sub-3000166_all_eeg_s2_r1_e1.vhdr, sub-3000166_all_eeg_s2_r1_e1.eeg, sub-3000166_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000169,s2_r1,eeg,"sub-3000169_all_eeg_s2_r1_e1.vhdr, sub-3000169_all_eeg_s2_r1_e1.eeg, sub-3000169_all_eeg_s2_r1_e1.vmrk",PASSED,
Lilly,2025-03-31,3000174,s2_r1,eeg,"sub-3000174_all_eeg_s2_r1_e1.vhdr, sub-3000174_all_eeg_s2_r1_e1.eeg, sub-3000174_all_eeg_s2_r1_e1.vmrk",PASSED,
